time,z,y,x,psi,theta
0,0,0,0,0,1.466076572
0.01,0,0,0,0,1.466076572
0.02,0,0,0,0,1.466076572
0.03,0,0,0,0,1.466076572
0.04,0,0,0,0,1.466076572
0.05,0,0,0,0,1.466076572
0.06,0,0,0,0,1.466076572
0.07,0,0,0,0,1.466076572
0.08,0,0,0,0,1.466076572
0.09,0,0,0,0,1.466076572
0.1,0,0,0,0,1.466076572
0.11,0,0,0,0,1.466076572
0.12,0,0,0,0,1.466076572
0.13,0,0,0,0,1.466076572
0.14,0,0,0,0,1.466076572
0.15,0,0,0,0,1.466076572
0.16,0,0,0,0,1.466076572
0.17,0,0,0,0,1.466076572
0.18,0,0,0,0,1.466076572
0.19,0,0,0,0,1.466076572
0.2,0,0,0,0,1.466076572
0.21,0,0,0,0,1.466076572
0.22,0,0,0,0,1.466076572
0.23,0,0,0,0,1.466076572
0.24,5.55E-05,5.83E-06,0,0,1.466076572
0.25,2.23E-04,2.35E-05,0,0,1.466076572
0.26,5.23E-04,5.50E-05,0,0,1.466076572
0.27,0.0011017,1.16E-04,0,0,1.466076572
0.28,0.0021439,2.25E-04,0,0,1.466076572
0.29,0.0037207,3.91E-04,0,0,1.466076572
0.3,0.0059017,6.20E-04,0,0,1.466076572
0.31,0.0088092,9.26E-04,0,0,1.466076572
0.32,0.012524,0.0013163,0,0,1.466076572
0.33,0.017059,0.0017929,0,0,1.466076572
# Event LIFTOFF occurred at t=0.34 seconds,,,,0,0
0.34,0.022429,0.0023574,0,0,1.466076572
0.35,0.028698,0.0030162,0,0,1.466076572
0.36,0.035981,0.0037818,0,0,1.466076572
0.37,0.044421,0.0046688,0,0,1.466076572
0.38,0.054164,0.0056929,0,0,1.466076572
0.39,0.065377,0.0068714,0,0,1.466076572
0.4,0.078235,0.0082228,0,0,1.466076572
0.41,0.092913,0.0097656,0,0,1.466076572
0.42,0.10956,0.011516,0,0,1.466076572
0.43,0.12833,0.013488,0,0,1.466076572
0.44,0.14937,0.0157,0,0,1.466076572
0.45,0.17291,0.018173,0,0,1.466076572
0.46,0.19915,0.020932,0,0,1.466076572
0.47,0.2282,0.023985,0,0,1.466076572
0.48,0.26009,0.027337,0,0,1.466076572
0.49,0.29496,0.031002,0,0,1.466076572
0.5,0.33297,0.034997,0,0,1.466076572
0.51,0.37426,0.039336,0,0,1.466076572
0.52,0.41893,0.044031,0,0,1.466076572
0.53,0.46701,0.049085,0,0,1.466076572
0.54,0.51851,0.054498,0,0,1.466076572
0.55,0.57341,0.060268,0,0,1.466076572
0.56,0.63175,0.066399,0,0,1.466076572
0.57,0.69352,0.072891,0,0,1.466076572
0.58,0.75869,0.079742,0,0,1.466076572
0.59,0.82724,0.086947,0,0,1.466076572
0.6,0.89914,0.094504,0,0,1.466076572
0.61,0.97436,0.10241,0,0,1.466076572
# Event LAUNCHROD occurred at t=0.62 seconds,,,,0,0
0.62,1.0528,0.11066,0,0,1.466076572
0.635,1.1765,0.12369,0,1.35326E-08,1.466059118
0.6575,1.375,0.14473,0,6.92913E-08,1.465919492
0.69125,1.7013,0.1795,-6.64E-09,1.38274E-07,1.465395893
0.74125,2.2449,0.23773,-1.93E-08,4.13975E-07,1.463510938
0.79125,2.8544,0.30326,-3.74E-08,5.40895E-07,1.460002826
0.84125,3.5229,0.37558,-6.11E-08,4.15598E-07,1.454609758
0.89125,4.2456,0.45455,-9.26E-08,1.34088E-07,1.447104843
0.94125,5.016,0.53992,-1.35E-07,-4.58795E-08,1.437296092
0.99125,5.8272,0.6314,-1.91E-07,3.56606E-08,1.425008974
1.0413,6.6711,0.7286,-2.60E-07,8.06482E-07,1.410086409
1.0913,7.5393,0.83125,-3.35E-07,2.06228E-06,1.392615663
1.1413,8.4249,0.93923,-4.05E-07,3.18715E-06,1.37277127
1.1913,9.3211,1.0524,-4.60E-07,3.99628E-06,1.350727761
1.2413,10.224,1.1708,-4.93E-07,4.80751E-06,1.326799297
1.2913,11.128,1.2944,-4.98E-07,5.84005E-06,1.30126513
1.3413,12.03,1.4232,-4.69E-07,6.65302E-06,1.274526686
1.3913,12.927,1.5572,-3.99E-07,7.32445E-06,1.247037751
1.4413,13.817,1.6967,-2.82E-07,8.21108E-06,1.219356829
1.4913,14.698,1.842,-1.13E-07,9.07868E-06,1.192042426
1.5413,15.568,1.9929,1.14E-07,9.48848E-06,1.165408701
1.5913,16.424,2.149,4.01E-07,9.71119E-06,1.139595282
1.6413,17.266,2.3098,7.45E-07,9.84069E-06,1.114654527
1.6913,18.091,2.4753,1.15E-06,9.78152E-06,1.09065625
